nama_usaha,jumlah_menu,gambar_menu,apakah_menjual_minuman,apakah_menjual_makanan,jumlah_review,rating,rata-rata_harga_makanan_utama,Promo_ongkir(goplus),jam_buka,lokasi,rating_gmaps,Sosial_media,jumlah_ulasan_gmaps,menu_utama,durasi_oprasional,Kecamantan
Dapur Pandan Wangi,40,Foto_Sendiri,Ya,Ya,750,4.6,High,Ya,10:00,Bandung,4.5,Ya,1700.0,Ikan,12.0,Lengkong
Lawson Station,150,Foto_Sendiri,Ya,Ya,450,4.1,Low,Ya,0:00,Bandung,4.2,Ya,1100.0,Beragam,24.0,Sumur Bandung
Mixue Ice Cream & Tea,30,Foto_Sendiri,Ya,Tidak,980,4.8,Low,Ya,10:00,Bandung,4.7,Ya,1500.0,Es,12.0,Coblong
Sec Bowl Kuningan,25,Foto_Sendiri,Ya,Ya,1250,1.2,Medium,Ya,10:00,Jakarta,1.5,Ya,1250.0,Nasi,12.0,Setiabudi
The Sky Restaurant and Bistro,40,Foto_Sendiri,Ya,Ya,450,1.5,High,Tidak,18:00,Bekasi,1.8,Ya,450.0,Beragam,9.0,Cikarang Selatan
Lotteria,35,Foto_Sendiri,Ya,Ya,8500,3.5,Low,Ya,10:00,Bekasi,3.7,Ya,8500.0,Ayam,12.0,Cikarang Selatan
Red Bean,50,Foto_Sendiri,Ya,Ya,3200,3.8,Medium,Tidak,10:00,Jakarta,3.9,Ya,3200.0,Beragam,12.0,Kembangan
Pasta de Waraku,40,Foto_Sendiri,Ya,Ya,2100,3.2,Medium,Tidak,11:00,Jakarta,3.4,Ya,2100.0,Pasta,11.0,Tanah Abang
Karen's Diner Jakarta,20,Foto_Sendiri,Ya,Ya,980,2.9,High,Tidak,12:00,Jakarta,3.1,Ya,980.0,Burger,10.0,Kebayoran Baru
Holywings Forest Bekasi,60,Foto_Sendiri,Ya,Ya,1500,2.1,High,Ya,17:00,Bekasi,2.4,Ya,1500.0,Es,9.0,Bekasi Utara
Fish & Co.,30,Foto_Sendiri,Ya,Ya,11500,4.0,High,Ya,10:00,Jakarta,4.1,Ya,11500.0,Ikan,12.0,Kelapa Gading
Carl's Jr.,25,Foto_Sendiri,Ya,Ya,9800,3.9,Medium,Ya,10:00,Jakarta,4.0,Ya,9800.0,Burger,12.0,Kelapa Gading
Izzi Pizza,30,Foto_Sendiri,Ya,Ya,1500,3.7,Medium,Ya,11:00,Jakarta,3.8,Tidak,1500.0,Pizza,11.0,Mampang Prapatan
Restoran Cahaya Kota,60,Foto_Sendiri,Ya,Ya,950,4.2,High,Tidak,11:00,Jakarta,4.3,Tidak,950.0,Beragam,10.0,Menteng
McDonald's Sarinah,40,Foto_Sendiri,Ya,Ya,25000,4.5,Medium,Ya,0:00,Jakarta,4.6,Ya,25000.0,Ayam,24.0,Menteng
Marche Movenpick,70,Foto_Sendiri,Ya,Ya,4500,4.1,High,Tidak,10:00,Jakarta,4.2,Ya,4500.0,Beragam,12.0,Kembangan
UMKM JP 41 Cempaka Putih,15,Template,Ya,Ya,150,2.5,Low,Tidak,9:00,Jakarta,2.8,Tidak,150.0,Nasi,12.0,Cempaka Putih
Warjo Bekasi Utara,20,Template,Ya,Ya,210,2.3,Low,Tidak,18:00,Bekasi,2.5,Tidak,210.0,Kopi,10.0,Bekasi Utara
